geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,median_income,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6037910210,Palmdale,93551,Los Angeles,34.6173553,-118.1947725,466.0102897,4.45,1848,80,4.329004329004329,26.0625,0,0.1125,55.7,13,92.7,8.3,85833,1,3.1,84.9,2.4,4.5,17.6,33,12,20.2,10.3,93.1,30.5,24.3,59.2,2.2,2.5,11.7,16.2,6.2,33.7,0,0,57.9,2.3,24.2,8.1,6.4,1.1,0.7,0
6037910301,Quartz Hill,93536,Los Angeles,34.6382723,-118.2230412,428.4766351,5.88,825,9,1.0909090909090908,27,0,0,53.5,5.5,92.3,9.8,92619,9.2,12.1,94.2,3.9,5.4,25.2,28.4,13,12.6,11.6,90.7,24.2,21.7,62.7,1.1,7.9,6.6,7.7,13.8,36,0,0,47.4,2.8,17.5,6.4,4.8,0.5,0.8,0.3
6037910302,Palmdale,93551,Los Angeles,34.6227294,-118.2221613,445.4295737,6.73,1351,81,5.995558845299778,27,0,0,52.9,11.6,93,13.8,85889,0.9,3.1,88,2.6,8.1,24.5,25.1,7.7,20.7,11.2,89.2,31.9,23.8,47.8,2.3,9.5,16.5,18.1,22.8,44,4.5,0,28.6,0,29.8,7.4,4,2.2,1.2,0
6037910401,Palmdale,93551,Los Angeles,34.5754635,-118.1534038,543.9529615,4.57,1734,183,10.55363321799308,28.39344262295082,0,0.15300546448087432,51.4,14.3,90.8,10.8,74384,4.4,6.8,83.7,2.1,8.2,23.3,23.9,11.5,16.8,14.2,89.7,31,27.4,45.9,2.8,3.7,20.1,20.5,1,25.6,4.5,0.9,68,0,39.7,8.8,6.8,0.6,1.2,0.2
6037910402,Palmdale,93550,Los Angeles,34.5834908,-118.1256195,289.7986393,6.95,1000,143,14.3,36.05594405594405,0,0.46853146853146854,48,26.6,74.3,9.4,29821,44.1,48.3,76,25,20.3,18.9,24.2,3.1,5.6,2.8,54.6,8.4,51,30.3,5.9,2.5,10.2,24.9,0,5.7,0,0,94.3,0,72.4,29.6,29.2,0,0.4,0
6037910403,Palmdale,93550,Los Angeles,34.576145,-118.1254252,289.7986393,6.8,669,125,18.684603886397607,30.98,0.12,0.312,45.7,20.5,73.1,7.8,20909,66.9,67,62.6,16.5,27.7,35.1,14.6,1.4,2.9,1.8,55.8,4.7,49,33.5,3.6,5,8.9,36.3,0.5,2.1,0,0,97.5,0,85.1,29.7,29.7,0,0,0
6037910404,Palmdale,93550,Los Angeles,34.5646915,-118.1238241,289.7986393,5.88,1041,94,9.029779058597502,36.54255319148936,0,0.5,50.1,14.9,82.9,9.7,46625,13.8,22.5,84,17.8,16.3,23.3,29.3,4.1,7,2.2,65.9,9.2,41,46.5,1.4,6.2,4.8,28.7,1.1,0.6,0,0,98.3,0,39.5,24.6,24.6,0,0,0
6037910501,Palmdale,93550,Los Angeles,34.5802081,-118.1125209,289.7986393,8.77,1467,239,16.29175187457396,34.80334728033473,0,0.42677824267782427,53.9,19.4,81.4,16.4,14669,70.7,68.4,66.1,14,22.2,27.1,27.9,0.7,6.1,1.9,63.8,8.1,56.2,22.7,6.5,7.1,7.5,20.2,0.7,26.1,0.7,0.8,71.1,0.6,70.8,18.7,15.3,0.8,2.4,0.1
6037910502,Palmdale,93550,Los Angeles,34.5800249,-118.1008047,289.7986393,5.77,1096,79,7.208029197080292,32.32911392405063,0,0.3291139240506329,42.2,17.9,75.4,14.3,33036,28.2,31.9,89.7,21.9,20.3,25.2,21.3,2.2,6.7,2.3,57.8,9,47.4,27.5,1.4,10.6,13,26.3,0.7,2.6,2.2,0,94.5,0,78.7,28.6,27.5,0,0.5,0.6
6037910504,Palmdale,93550,Los Angeles,34.5690669,-118.1046034,289.7986393,7.06,1194,79,6.61641541038526,30.670886075949365,0,0.21518987341772153,41.8,15.3,81.1,12.4,35642,32.4,39.4,89.3,24.3,18.1,27.9,20.1,1.8,5.7,2,57.6,7.7,39.5,43.8,2.4,5,9.3,28.8,1.2,4.5,0,0,93.7,0.6,53.5,26.8,25.9,0.2,0.7,0
6037910505,Palmdale,93550,Los Angeles,34.5617295,-118.1039305,289.7986393,6.51,850,194,22.823529411764707,34.31958762886598,0,0.4072164948453608,45.3,5.8,85.7,13.1,49583,17.1,22,91.4,13.6,15.2,33.3,26.9,7.4,3,0.7,71.2,3.6,35.6,45,3.1,4.6,11.7,28.2,1.9,2.8,0,0,94.8,0.6,50.9,24.5,23.3,0.5,0.7,0
6037910601,Palmdale,93550,Los Angeles,34.5829354,-118.0773655,289.7986393,6.23,2014,339,16.832174776564052,33.16519174041298,0,0.39823008849557523,38.6,23.3,78.3,14.1,27953,33.2,34.1,83.4,21.6,20.2,24.6,25,3.8,4.2,0.5,58.2,4.7,46.5,35,4.7,9,4.7,31.4,0.9,1.9,7.5,0,87.2,2.5,63.8,25.9,25.2,0.6,0.1,0
6037910602,Palmdale,93550,Los Angeles,34.5774296,-118.0788777,289.7986393,7.21,1005,115,11.442786069651742,34.52173913043478,0,0.41739130434782606,47.6,19.9,79,11.7,26594,43.6,41.9,76,5.6,16.4,37.6,22.4,6,11.7,0.4,78,12.1,42.9,29.2,6.4,6.9,14.6,27.8,5.4,9,4.7,0,80.9,0,44.4,18.2,15.6,0,1.8,0.8
6037910603,Palmdale,93550,Los Angeles,34.565463,-118.0850295,289.7986393,6.14,1680,144,8.571428571428571,30.368055555555557,0,0.2916666666666667,48.9,7.2,86.8,13.4,40689,27.3,28.6,81.8,18.7,9.3,32.1,24.3,8,6.8,0.8,72,7.6,41.5,40.4,3.9,5,9.2,27.2,0.9,8,0.5,0.4,88,2.3,49.5,23.7,22.2,0.4,1.1,0
