OBJECTID,Tract,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,DAC_category,Shape__Area,Shape__Length
935,6065042706,92571,8416,37.77497561,71.69692385,0.06718273,97.00062228,10.75871405,53.39141257,0.172275806,56.85127567,22.277907,66.86206897,169.5470047,31.48287072,599.1572385,28.3625,266.5247879,17.29736481,38.02846159,34.39193447,13,71.63120567,0,0,0.11,19.24553276,0,0,1,35.71592211,40.57618149,4.954343701,44.44306161,56.41,64.56879362,5.8,71.02899666,20.84,89.81804586,30.8,81.14401417,6.1,43.87603194,40.5,69.8241206,9.6,84.57834461,24.9,79.9112801,73.50268517,7.624617486,84.6318709,18.4411,75.0832,6.4758,77.626,4.6578,13.1535,0,2.8279,0,1.7348,Riverside ,Perris,CalEnviroScreen 3.0 Disadvantaged Communities Only,6715647.85546875,11636.6931351779
936,6065040503,91752,4155,46.32338881,83.67372668,0.06464682,93.62787803,13.51166061,95.85563161,0.960503449,97.94648413,0,0,1870.104981,77.80695174,1683.246527,81.625,692.3740729,76.63294617,20.041968,12.2747322,12.1,69.07428145,2,14.31180475,1.765,91.79351423,0,0,3,63.66552119,60.57047677,7.395643182,91.67392657,31.8,28.31505484,5.51,64.78060046,12.67,51.81954138,26.6,75.74031891,7,48.72107186,39.4,68.26633166,,,36.4,97.11026616,60.38228135,6.263605162,66.11195159,7.9182,62.0217,30.0602,62.503,25.3189,9.3863,0,2.3827,0,0.4091,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,5752304.6640625,11326.1478673249
937,6065040403,92509,5723,39.89990455,74.82349975,0.06464682,93.62787803,14.12907435,98.14561294,0.118181728,42.91225887,0.054523517,21.5862069,1401.914673,71.43035759,494.8067351,20.525,692.3740729,76.63294617,56.09365686,60.21424071,13.75,72.7510265,0,0,0.525,70.93315685,3,33.15833683,0,0,52.21237645,6.375120793,76.04231487,51.79,58.7113659,5.86,72.32486528,15.73,70.22681954,27.4,76.7906859,,,25.6,45.52763819,8.8,80.38781884,9.4,11.62230672,60.33489799,6.258689968,66.06152295,11.4625,79.5737,8.9638,79.0669,19.2207,0.8212,0,0,0,0.8911,Riverside ,Jurupa Valley,CalEnviroScreen 3.0 Disadvantaged Communities Only,7411784.98046875,12654.2117972307
938,6065042719,92567,5470,36.30164158,69.59152799,0.06727674,97.10018668,10.28994027,51.05164904,0.061925649,22.70068451,69.68676713,74.4137931,152.2559967,29.51987997,1110.359016,64.5125,517.9237225,62.23304608,40.74526508,38.1852552,4,37.55132512,2,14.31180475,0.1,16.63798809,0,0,2.5,59.17525773,45.15484126,5.513397149,57.08774113,35.58,34.50897308,5.57,66.05080831,16.97,75.90977069,26.4,75.44925335,9.4,59.37203952,37.3,65.07537688,,,22.6,72.5982256,63.47345393,6.58426023,70.6505295,15.9598,73.6929,10.3473,68.5375,25.6673,5.0091,0,0.128,0,0.6581,Riverside ,Nuevo,CalEnviroScreen 3.0 Disadvantaged Communities Only,39962505.96875,43019.5522772643
939,6065042800,92570,9515,57.89083312,94.46545638,0.06591477,95.27069073,10.76891303,53.41630367,0.377409524,83.29807094,36.46729884,70.27586207,160.1687673,30.50762691,1435.731769,76.475,285.8419099,19.50793056,73.2597823,82.78512917,9,58.17469205,22,71.09413913,0.16,28.29913964,0,0,11.5,93.2416953,59.34869558,7.246463942,89.98133167,54.1,61.65254237,5.17,56.87708494,19.86,87.05134596,44.1,92.93849658,14.8,76.89809176,62.9,93.60552764,10.5,88.07912546,23.6,75.98225602,77.01384529,7.988838913,89.13262733,16.9101,77.7509,5.3389,86.3479,8.3868,3.0268,0.3783,1.1035,0,0.7567,Riverside ,Perris,CalEnviroScreen 4.0 Top 25%,7916823.72265625,15707.4167768595
940,6065042209,92507,5439,67.32957815,98.4871407,0.0685917,97.59800871,12.37480713,90.3546982,0.565422732,91.89794648,0.156407645,29.24137931,804.473002,60.50262566,1404.468239,75.525,693.8289152,77.36980142,47.41235325,47.88909893,23,84.60246361,8.1,40.9928607,2.785,95.51290536,0,0,1,35.71592211,64.65315668,7.894137588,95.56938395,61.6,70.78763709,7.29,92.41724403,17.81,79.97258225,19.8,64.51531258,12.6,70.30721343,72.3,98.15326633,14.4,96.25195211,28.4,87.69328264,82.22167994,8.529060634,94.7175996,16.3633,78.7093,4.9274,47.3065,19.1763,10.2592,2.7946,17.9812,0,2.4821,Riverside ,Riverside,CalEnviroScreen 4.0 Top 25%,8121497.67578125,17410.2914352825
941,6065030501,92507,4557,43.65549457,80.33282905,0.06718273,97.00062228,12.27532875,89.43372744,0.085969719,32.03484754,0,0,609.583669,55.36384096,833.728894,46.625,693.8289152,77.36980142,68.34988864,76.97542533,9.1,58.49197462,3.85,25.17018097,0.42,63.07081403,0,0,1,35.71592211,51.7301982,6.316246925,74.88487866,57.35,66.03938185,4.59,40.94175006,16.54,74.04037886,24.9,73.07010883,13,71.38990391,49.7,81.35678392,6.9,66.60593441,22.5,72.16730038,66.62925494,6.911619367,75.32778618,10.3138,78.8238,10.8624,62.8484,15.361,13.1666,0,7.7463,0,0.8778,Riverside ,Riverside,CalEnviroScreen 4.0 Top 25%,2743552.17578125,7701.0363327022
942,6065041201,92503,4370,40.33330329,75.54210792,0.06464682,93.62787803,12.76528159,92.74424393,0.166763383,55.40759179,0.000464842,3.310344828,1203.256673,68.57964491,713.9781396,37.3,693.8289152,77.36980142,64.48372155,72.18651544,0.65,8.062709966,1,6.973269135,0.155,27.08140304,0,0,0,0,44.51832717,5.435678905,55.44492844,47.72,53.22781655,7.94,96.17654606,15.43,68.89332004,32.8,83.27005821,9,57.76153742,36.3,63.64321608,11.2,90.330557,18.5,56.4765526,71.53113924,7.420104093,82.14826021,10.8009,78.1693,11.0297,68.1236,18.5812,5.3318,0.0915,7.8719,0,0,Riverside ,Riverside,CalEnviroScreen 4.0 Top 25%,3770795.93359375,8695.7274691604
943,6065040203,92509,4422,52.60426119,90.60766515,0.06718273,97.00062228,13.10743766,94.21281892,0.352125101,81.28189172,0,0,1228.937642,69.07976994,797.3582367,44.0625,509.9670733,61.50867991,78.79491096,88.30497795,0,0,10,47.43483314,0.1,16.63798809,3,33.15833683,0,0,51.1030156,6.239668054,73.01804605,57.33,65.93968096,6.04,75.95586348,17.17,76.95663011,47.8,95.25436598,15.1,77.62890784,62.6,93.3919598,15.3,97.07183758,26.9,84.626109,81.27268045,8.430618542,93.82249117,14.5635,80.2126,5.2239,93.2384,4.8168,1.8318,0,0.1131,0,0,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,1372567.42578125,6778.88011751742
944,6065040204,92509,4160,59.90564521,95.6505295,0.06718273,97.00062228,13.10743766,94.21281892,0.804636354,96.75171126,0,0,1629.536703,74.91872968,1442.051154,76.6375,509.9670733,61.50867991,85.45142902,93.61058601,4.5,40.83613289,10.2,47.58426034,0.01,1.800132363,3,33.15833683,1.2,37.57159221,60.28341765,7.360593321,91.2632234,57.33,65.93968096,5.75,69.98973569,17.17,76.95663011,48.6,95.78587699,15.6,78.52212749,52.4,84.69849246,10.4,87.6887038,26.2,83.07984791,78.45851266,8.138697874,90.85980837,19.0865,74.5913,6.3221,88.9904,5.2163,5.1683,0,0,0,0.625,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,2004481.55078125,6990.23634746598
