census_tract,total_pop,county,zip,approximate_location,longitude,latitude,ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,children_10_years_percent,pop_10_64_years_percent,elderly_64_years_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent,disadv_designation,avg_maternal_age
6037229410,3697,Los Angeles,90011,Los Angeles,-118.2695618,33.9922359,60.130431798023,95.7639939485628,95-100% (highest scores),0.04490202,12.00225165,0.163838154,787.9403354,95.92587167,0,3557.613322,706.3017526,58.45,38,0.23,0,5,60.5933276960504,7.39843327607475,69.59,4.95,22.72,58,21.3,66.1,3.8,50.9,78.3501270787255,8.12745476700782,24.07,70.71,5.22,92.35,0.78,5.22,0,0.92,0.73,1,32.775193798449614
6037553702,4723,Los Angeles,90723,Paramount,-118.1828739,33.8975428,60.1244002436011,95.7513867876954,95-100% (highest scores),0.0438112,12.09151255,0.933448814,280.6727453,86.90244544,0,9847.74007,2417.876435,9.25,17.25,0.76,7,3.1,65.5214701376072,8.00015848931512,55.62,6.55,16.19,37.6,13.9,49.9,4.9,22.2,72.4498199463928,7.51540114160267,15.58,76.75,7.66,90.79,0.78,6.48,0,1.46,0.49,1,34.333333333333336
6037231720,4934,Los Angeles,90037,Los Angeles,-118.284071,34.0074463,60.1126514987954,95.738779626828,95-100% (highest scores),0.04490202,12.0084908,0.647374763,787.9403354,84.46725882,0,2881.456705,2867.931729,4.6,0,0.15,0,2,56.2060197887909,6.86274385204646,100.68,4.93,20.14,51.1,28.1,55.7,9.9,32.4,84.4409750053129,8.75927366586323,14.53,74.54,10.92,78.13,2.13,16.36,0,1.91,1.48,1,33.02459016393443
6037533602,5546,Los Angeles,90201,Bell,-118.1965167,33.9771928,60.103732479135,95.7261724659607,95-100% (highest scores),0.04632538,12.05553415,0.121885993,514.4746644,93.03872058,0,4188.436564,849.3485748,24.5,20,0.525,7,1,61.0843023301709,7.45838118137889,54.25,5.72,23.93,35.7,20.1,57.5,6.1,23.6,77.6858660120466,8.05854930412972,17.69,73.93,8.38,90.41,5.27,0,0.23,1.44,2.65,1,33.8041237113402
6037228210,4233,Los Angeles,90011,Los Angeles,-118.2534818,34.010412,60.0684344278735,95.7135653050933,95-100% (highest scores),0.04588368,12.09940492,0.215249019,787.9403354,92.36440452,0,2949.003337,667.0754392,28.4,0.3,0.255,0,0.5,52.2993016551853,6.38573434392209,69.72,6.56,22.77,56.4,25.2,73.4,11.2,37.3,90.6818997420277,9.40666040782708,16.7,72.34,10.96,90.67,0.33,6.17,0.99,1.84,0,1,38.25
6019000502,3594,Fresno,93701,Fresno,-119.781537,36.7444057,60.02861058725,95.7009581442259,95-100% (highest scores),0.060311,13.82694814,0.81647983,733.946935,73.01852307,0,1802.389679,1581.116435,0,0,0.27,0,0.6,54.6190856609789,6.66897951025231,136.39,8.53,20.89,42.7,12.8,72.3,5,27.1,86.7728880666593,9.00116884374398,20.4,67.7,11.91,73.01,14.16,1.67,0.58,8.93,1.64,1,22
6037239802,5461,Los Angeles,90001,Los Angeles,-118.2629489,33.962408,60.0146055338363,95.6883509833585,95-100% (highest scores),0.04435661,12.10418364,0.165460228,787.9403354,91.88883755,0,5099.636637,1104.590501,12.85,2.6,0.47,0,2,57.5844429304331,7.03104904384568,74.29,5.5,21.26,41.7,8.8,66.3,9.3,45.1,82.285246158572,8.53565451749585,14.47,80.19,5.35,70.1,1.08,27.17,0,0.48,1.17,1,37.15151515151515
6107000501,7097,Tulare,93618,Dinuba,-119.3859943,36.5384542,59.9721512154423,95.6757438224912,95-100% (highest scores),0.06350576,13.71023517,0.206718904,546.3253182,80.39727121,3.895352892,391.6931737,432.9133364,18.25,18.5,0.185,0,0,55.2117864058186,6.74134815346947,66.16,6.56,18.97,51.7,22.8,75.7,10.6,23.8,85.7606402891742,8.89616584845531,22.53,69.13,8.34,93.36,3.86,0.41,0.1,0.75,1.52,1,31.320987654320987
6037541100,3251,Los Angeles,90220,West Rancho Dominguez,-118.2607508,33.8984704,59.9129032961775,95.6631366616238,95-100% (highest scores),0.04259906,12.11029674,0.265202199,320.1113059,83.17960246,0.056480855,66584.93156,676.9743142,11.9,71.75,3.225,7,8,66.085455688867,8.06902101309987,79.8,7.32,13.56,28.5,2.8,57.8,12.3,15.3,71.5788411640568,7.4250523327316,14.49,73.36,12.15,55.21,1.94,38.48,0,1.85,2.52,1,NA
6065040204,4160,Riverside,92509,Jurupa Valley,-117.3999055,33.9997288,59.9056452130712,95.6505295007564,95-100% (highest scores),0.06718273,13.10743766,0.804636354,509.9670733,85.45142902,0,1629.536703,1442.051154,4.5,10.2,0.01,3,1.2,60.2834176465695,7.36059332059037,57.33,5.75,17.17,48.6,15.6,52.4,10.4,26.2,78.4585126586004,8.13869787446243,19.09,74.59,6.32,88.99,5.22,5.17,0,0,0.63,1,31.583333333333332
6037207102,2926,Los Angeles,90012,Los Angeles,-118.2395097,34.0592851,59.8848696491113,95.6379223398891,95-100% (highest scores),0.0482775,12.87564539,0.949365779,787.9403354,25.6366557,0.061142188,1978.668315,1750.291405,16.75,26.65,3.04,7,0,66.2745567645247,8.09211021687666,30.75,7.46,10.73,40.8,38.2,57.1,11.3,27.1,71.3412087291774,7.40040212554412,4.31,67.77,27.92,22.8,8.48,7.52,2.53,57.93,0.75,1,33.875
